reference;type_article;designation;prix_achat;devise_prix_achat;prix_vente;devise_prix_vente;tva;remarque;marque;categorie;emplacement;unite
ART54406708;Produit;Mitigeur lavabo réhaussé, bec long. Sans vidage, avec flexibles de raccordement. Copper Brushed Pvd.;949;EUR;;MAD;20;;;;;
ART54406727;Produit;Mitigeur lavabo réhaussé, bec long. Sans vidage, avec flexibles de raccordement. Brass Brushed Pvd.;949;EUR;;MAD;20;;;;;
ART54406239;Produit;Mitigeur lavabo réhaussé, bec long. Sans vidage, avec flexibles de raccordement. Steel Brushed.;643;EUR;;MAD;20;;;;;
ART67599726;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Warm Bronze Br. Pvd.;784;EUR;;MAD;20;;;;;
ART67599299;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Matte Black.;670;EUR;;MAD;20;;;;;
ART67599031;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Chrome.;496;EUR;;MAD;20;;;;;
ART67599149;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Finox Brushed Nickel.;670;EUR;;MAD;20;;;;;
ART67599147;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Chrome Brushed.;670;EUR;;MAD;20;;;;;
ART67599187;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Aged Bronze.;784;EUR;;MAD;20;;;;;
ART67599030;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Copper Pvd.;734;EUR;;MAD;20;;;;;
ART67599706;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Black Metal Pvd.;734;EUR;;MAD;20;;;;;
ART67599707;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Black Metal Br. Pvd.;784;EUR;;MAD;20;;;;;
ART67599716;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Gold Brushed Pvd.;833;EUR;;MAD;20;;;;;
ART67599708;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Copper Brushed Pvd.;784;EUR;;MAD;20;;;;;
ART67599246;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Gold Pvd.;833;EUR;;MAD;20;;;;;
ART67599710;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Brass Pvd.;734;EUR;;MAD;20;;;;;
ART67599720;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Nickel Pvd.;734;EUR;;MAD;20;;;;;
ART67599727;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Brass Brushed Pvd.;784;EUR;;MAD;20;;;;;
ART67599735;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Warm Bronze Pvd.;734;EUR;;MAD;20;;;;;
ART67599713;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Antique Brass.;784;EUR;;MAD;20;;;;;
ART67599845;Produit;Pince Verre-Verre 90°. RIGATO. Epaisseur du verre 8-10-12 mm. Dark Bronze.;784;EUR;;MAD;20;;;;;
